Date,Egypt,South Africa
2019/07/01,,52464.8
2019/07/02,752.2,52093.4
2019/07/03,755.3,51960.6
2019/07/05,,51539.3
2019/07/08,749.9,51649.4
2019/07/09,750.2,50908.5
2019/07/10,739.9,51492
2019/07/11,737.5,51188.2
2019/07/12,,51189.5
2019/07/15,726.4,51447.3
2019/07/16,731.3,51958
2019/07/17,727.7,51565.2
2019/07/18,727.2,51733.4
2019/07/19,,52107.2
2019/07/22,725.6,51890.6
2019/07/23,,52209.6
2019/07/24,725.2,51626.6
2019/07/25,725.2,51563.2
2019/07/26,,51522.7
2019/07/29,718.7,51977.4
2019/07/30,714.9,51206.9
2019/07/31,710,50798.7
2019/08/01,716.6,51331.5
2019/08/02,,50332.3
2019/08/05,717.9,49066.1
2019/08/06,722.5,49113.4
2019/08/07,733,49253.7
2019/08/08,750,49619.6
2019/08/09,,
2019/08/12,,49512.9
2019/08/13,,49448.4
2019/08/14,766.3,48277.8
2019/08/15,758,48117
2019/08/16,,48158.4
2019/08/19,757.6,48647
2019/08/20,773.6,48545.6
2019/08/21,769.8,48837
2019/08/22,765.5,48435
2019/08/23,,48248
2019/08/26,762.1,48042.9
2019/08/27,761.4,48147.9
2019/08/28,770.2,48429.4
2019/08/29,778.4,48561.4
2019/08/30,,49320.2
2019/09/03,783.3,48872.9
2019/09/04,781.2,49031
2019/09/05,782.6,49576.8
2019/09/06,,49673.8
2019/09/09,781.3,49602.2
2019/09/10,788.3,49484.6
2019/09/11,789.8,50359.2
2019/09/12,793.5,50768.8
2019/09/13,,51145.6
2019/09/16,783.3,51801.5
2019/09/17,766.7,50873.9
2019/09/18,762.4,50134.2
2019/09/19,765.9,50077.8
2019/09/20,,50341.6
2019/09/23,705.4,49559.4
2019/09/24,683.7,
2019/09/25,699.9,48865.1
2019/09/26,706.9,49243.7
2019/09/27,,49167.5
2019/09/30,741.9,48813.6
2019/10/01,750.7,48938.2
2019/10/02,734.6,48005.4
2019/10/03,728,47743.9
2019/10/04,,47975.4
2019/10/07,739.7,48635.6
2019/10/08,732.4,48465.3
2019/10/09,725.6,48310.7
2019/10/10,732.1,49032.5
2019/10/11,,49404.1
2019/10/14,728.4,49110.7
2019/10/15,720.6,49391.2
2019/10/16,731.5,49855.1
2019/10/17,737.1,49715.3
2019/10/18,,49510.9
2019/10/21,738.1,49834.6
2019/10/22,734.3,49610.1
2019/10/23,727.1,49244.6
2019/10/24,732,49124.4
2019/10/25,,48858.5
2019/10/28,736.2,49516.5
2019/10/29,745.9,49477.4
2019/10/30,748.9,49629.3
2019/10/31,751.3,50168.5
2019/11/01,,50428.1
2019/11/04,755.5,50673.7
2019/11/05,756.4,50984.4
2019/11/06,753.5,51410.3
2019/11/07,762.8,51223.3
2019/11/08,762.8,50406.9
2019/11/11,759.7,49976
2019/11/12,758,50210.5
2019/11/13,753.8,50115.5
2019/11/14,753.7,50012.5
2019/11/15,,49784.8
2019/11/18,738.9,50191
2019/11/19,738.6,51060.3
2019/11/20,740.3,50971.6
2019/11/21,739.2,50235.7
2019/11/22,739.2,50484.9
2019/11/25,731.4,50474.9
2019/11/26,719.8,49818.4
2019/11/27,713.2,49910.6
2019/11/29,,49093.2
2019/12/02,699.9,48609
2019/12/03,698.3,48299.7
2019/12/04,706.4,48809.3
2019/12/05,707.2,48589.7
2019/12/06,,49065.2
2019/12/09,692.1,49019.9
2019/12/10,696.9,49225.7
2019/12/11,686.9,49537.3
2019/12/12,683.3,49603.1
2019/12/13,,50499
2019/12/16,690.9,
2019/12/17,703.4,50994.2
2019/12/18,706.9,51462.5
2019/12/19,709.3,51268.6
2019/12/20,,51151.1
2019/12/23,703.5,50876.1
2019/12/24,700.6,51023.9
2019/12/26,706.9,
2019/12/27,,51147.5
2019/12/30,708.8,51398.4
2019/12/31,710.3,50816.1
2020/01/02,710,51438
2020/01/03,,51536.5
2020/01/06,656.2,50999.6
2020/01/07,,51154.4
2020/01/08,671.6,51090.5
2020/01/09,693,50916.1
2020/01/10,,51245.4
2020/01/13,700.7,51343.4
2020/01/14,705.2,51725.9
2020/01/15,706.6,51835.1
2020/01/16,710.6,51965.2
2020/01/17,,52735.8
2020/01/21,690.9,51835.4
2020/01/22,696.4,51808.6
2020/01/23,698.6,50847.6
2020/01/24,,51212.3
2020/01/27,694,49949.2
2020/01/28,691.5,49800.3
2020/01/29,703.8,50343.6
2020/01/30,711.2,50552.7
2020/01/31,,50072.6
2020/02/03,708.3,49903.3
2020/02/04,709.6,50892.5
2020/02/05,715.4,51484.3
2020/02/06,721.2,51612.1
2020/02/07,,51396.1
2020/02/10,716.7,51007.1
2020/02/11,718.4,51201.1
2020/02/12,712.7,52000
2020/02/13,714.4,52055.6
2020/02/14,,52050
2020/02/18,699.3,51922.2
2020/02/19,701.1,52126.6
2020/02/20,706.3,52033.3
2020/02/21,,51582.4
2020/02/24,689.5,49282.5
2020/02/25,687.9,49303.3
2020/02/26,679.6,49500.5
2020/02/27,665.2,48032.8
2020/02/28,,45851.8
2020/03/02,633.2,46648.2
2020/03/03,639.2,47671.2
2020/03/04,635.7,47560.7
2020/03/05,643.6,47618.8
2020/03/06,,46759.7
2020/03/09,583,43687.2
2020/03/10,587.8,44252.3
2020/03/11,586.6,43891.5
2020/03/12,,39536.2
2020/03/13,,39476.1
2020/03/16,498.9,36301.8
2020/03/17,472.1,37375.3
2020/03/18,451.5,34715.6
2020/03/19,461.2,34239.3
2020/03/20,,36302.3
2020/03/23,498.1,34695.9
2020/03/24,489.1,37550.7
2020/03/25,498.1,37550.7
2020/03/26,500.9,41110.5
2020/03/27,,39172.4
2020/03/30,486.3,39756.7
2020/03/31,489.2,40738.6
2020/04/01,478.9,40027.4
2020/04/02,486.3,41245.3
2020/04/03,,40873.4
2020/04/06,484.6,42534.5
2020/04/07,504.6,43590
2020/04/08,511.7,42772.2
2020/04/09,511.5,43837.5
2020/04/13,517.7,
2020/04/14,530.7,45580.9
2020/04/15,528.9,44202.9
2020/04/16,527.4,44180
2020/04/17,,45044.4
2020/04/20,,44796.9
2020/04/21,519.7,43737.6
2020/04/22,519,44248.8
2020/04/23,534,45662
2020/04/24,,45595.5
2020/04/27,548.8,
2020/04/28,553.7,46100.7
2020/04/29,552.7,46831.6
2020/04/30,552.7,46348.3
2020/05/01,,
2020/05/04,519.1,45254
2020/05/05,525.5,45210.4
2020/05/06,533.8,45952.5
2020/05/07,519.4,46096
2020/05/08,,47061.6
2020/05/11,518,46359.5
2020/05/12,533.7,46518
2020/05/13,523.4,46416.4
2020/05/14,515.4,45445.1
2020/05/15,515.4,45948.4
2020/05/18,514,47673.5
2020/05/19,519,48160.7
2020/05/20,509.4,48379.9
2020/05/21,509.6,47232.3
2020/05/22,509.6,46432
2020/05/26,,46796
2020/05/27,,46600.6
2020/05/28,,47440.1
2020/05/29,,46544.8
2020/06/01,517.6,46950.1
2020/06/02,520.3,48318.3
2020/06/03,521.6,49300.1
2020/06/04,524.2,48837.5
2020/06/05,524.2,50199.8
2020/06/08,540.7,50117.6
2020/06/09,537.9,49915.7
2020/06/10,534.5,49204.8
2020/06/11,527.6,48892.1
2020/06/12,527.6,49247.7
2020/06/15,525.2,47919.5
2020/06/16,532.9,
2020/06/17,528.8,49661.1
2020/06/18,528,49589.1
2020/06/19,528,49812.3
2020/06/22,522.9,49877.9
2020/06/23,529.2,51193.2
2020/06/24,543.2,50193.8
2020/06/25,537.4,49732.9
2020/06/26,537.4,49477.9
2020/06/29,537.2,49920.1
2020/06/30,546.6,50175
2020/07/01,,49570.9
2020/07/02,,50309.8
2020/07/06,569.8,50503.9
2020/07/07,571.2,50922.3
2020/07/08,575.6,51558.8
2020/07/09,561.4,51536.9
2020/07/10,,51154.1
2020/07/13,572,51874.8
2020/07/14,565,51235.1
2020/07/15,546,51606.7
2020/07/16,540.2,51363.5
2020/07/17,,51515.9
2020/07/20,539.8,51852.2
2020/07/21,550.4,52016.5
2020/07/22,548.8,51412
2020/07/23,,51683.6
2020/07/24,,51259.5
2020/07/27,554.8,51914.1
2020/07/28,555.7,52043.1
2020/07/29,559.2,52245.8
2020/07/30,,51451.4
2020/07/31,,51368.8
2020/08/03,,51571.7
2020/08/04,566,51951.3
2020/08/05,573.9,53279.3
2020/08/06,576.4,53350.9
2020/08/07,,52435.7
2020/08/10,582.1,
2020/08/11,584.1,52831.6
2020/08/12,585.4,53126.5
2020/08/13,587.7,53082.1
2020/08/14,,52737.5
2020/08/17,590.8,53140.2
2020/08/18,587.1,52738.1
2020/08/19,593.7,52137.9
2020/08/20,,51380
2020/08/21,,51669.2
2020/08/24,613.9,52256.8
2020/08/25,613.9,51767.9
2020/08/26,618.8,52256.9
2020/08/27,623.4,52583.7
2020/08/28,,51750.5
2020/08/31,623.8,51225.5
2020/09/01,615.4,51704.1
2020/09/02,616,51678.3
2020/09/03,616.4,50319.2
2020/09/04,,49720.4
2020/09/08,584.4,50183
2020/09/09,582.7,50838.9
2020/09/10,596.5,51532.1
2020/09/11,,51715.1
2020/09/14,590.3,51976.8
2020/09/15,590.9,51795.7
2020/09/16,594.8,51629.7
2020/09/17,595,50700.1
2020/09/18,,50399.2
2020/09/21,589,49153.1
2020/09/22,592.8,49126.2
2020/09/23,595.8,50127.1
2020/09/24,594.3,
2020/09/25,594.3,49547.7
2020/09/28,598.8,50578.7
2020/09/29,599.2,50319.9
2020/09/30,595.2,50042.4
2020/10/01,595.2,50159.1
2020/10/02,,49896.7
2020/10/05,599.5,50183.1
2020/10/06,605.6,49869.4
2020/10/07,612.6,50412.2
2020/10/08,,50131.4
2020/10/09,,50781.2
2020/10/12,619.6,51158.6
2020/10/13,611.3,50722.4
2020/10/14,618.3,51041.6
2020/10/15,616.7,50503.9
2020/10/16,,50697.7
2020/10/19,606.4,50741.9
2020/10/20,603.8,50851.6
