Date,CM_Price,CM_Volume,CD_Price,CD_Volume,CS_Price,CS_Volume,EC_Price,EC_Volume,F_Price,F_Volume,HI_Price,HI_Volume,IT_Price,IT_Volume,SM_Price,SM_Volume,,
2019/07/01,282.8,3840000,1430.5,6740000,1118.9,3130000,1248.9,11170000,728.6,8570000,291.9,7410000,2089.9,22530000,791.4,2220000,5710000,25.31527094
2019/07/02,282.9,2620000,1413,7150000,1107.5,3420000,1254,13170000,724.6,10430000,290.5,4510000,2086.5,16470000,786.8,1510000,9100000,40.34482759
2019/07/03,275.7,3420000,1395.2,7050000,1106,3880000,1252.4,35770000,708.7,13480000,283.1,8070000,2052.8,17470000,782.3,2000000,4125000,18.28817734
2019/07/04,277.5,2880000,1410.2,6560000,1108.9,3360000,1275.8,25890000,713.3,8380000,287,4830000,2085.7,11840000,787.3,3080000,10995000,48.74630542
2019/07/05,276.3,2770000,1425.4,6740000,1124.9,3560000,1276.2,8220000,708.9,7380000,288.7,3360000,2058,15400000,790.9,1760000,14635000,64.88423645
2019/07/08,268,4100000,1401.8,7280000,1106.5,4700000,1242.8,14200000,698.7,9990000,279.4,5920000,2009.9,18390000,772.6,2110000,11405000,50.56403941
2019/07/09,259,5780000,1388.6,8420000,1092.5,3420000,1224.3,9500000,694.7,8780000,273.5,6740000,2011.7,16270000,766.6,1770000,23480000,104.0985222
2019/07/10,259.6,4700000,1384.9,7410000,1088.3,3280000,1219.3,9850000,696,8780000,274.6,5230000,2041.6,18320000,762.6,2030000,1750000,7.75862069
2019/07/11,262.9,3460000,1395.3,9840000,1099.5,4390000,1236.2,35490000,700.6,14900000,279.9,6560000,2061.8,21990000,767,1720000,81200000,
2019/07/12,261.3,3510000,1404.9,7450000,1100.3,3510000,1243.4,9290000,704,8580000,282,3890000,2075,11740000,768,1570000,,
2019/07/15,257.3,2670000,1398,6510000,1093.3,2780000,1250.3,39950000,704.2,8750000,279.5,4260000,2086.7,11220000,764.5,3410000,,
2019/07/16,258.7,2530000,1381.3,8070000,1107.7,3270000,1261.5,77750000,708.3,12030000,280.1,4130000,2098.1,15120000,770.2,2050000,,
2019/07/17,252.8,3590000,1386.3,7440000,1091.8,3820000,1258.6,58230000,708.4,10090000,277.1,3980000,2079.9,12690000,763.5,2200000,,
2019/07/18,248.1,3520000,1381.4,6200000,1093.5,3110000,1246.5,30800000,702.1,11730000,273.9,3660000,2073.6,11210000,755,1920000,,
2019/07/19,252.8,3490000,1394.4,6980000,1103.4,3390000,1258.5,29600000,714.7,10050000,277.8,5040000,2105.7,16730000,768.2,2730000,,
2019/07/22,251.6,2360000,1382.3,5570000,1097.3,2430000,1258,15060000,710.7,7570000,275.7,3300000,2115.1,15240000,768.4,3840000,,
2019/07/23,252.4,3050000,1386.9,7490000,1110.4,5640000,1270.8,31500000,719.7,10380000,275.5,4780000,2125.6,18180000,777,1970000,,
