Date,China,Korea,HongKong,India,Japan
2019/07/01,3044.9,2129.7,NaN,220.9,21730
2019/07/02,3043.9,2122,28875.6,217.7,21754.3
2019/07/03,3015.3,2096,28855.1,213.8,21638.2
2019/07/05,3011.1,2110.6,28774.8,222.2,21746.4
2019/07/08,2933.4,2064.2,28331.7,216.9,21534.3
2019/07/09,2928.2,2052,28116.3,210.2,21565.2
2019/07/10,2915.3,2058.8,28204.7,221.2,21533.5
2019/07/11,2917.8,2080.6,28431.8,226.7,21643.5
2019/07/12,2930.6,2086.7,28471.6,230.3,21685.9
2019/07/15,2942.2,2082.5,28554.9,232.3,NaN
2019/07/16,2937.6,2091.9,28619.6,232.7,21535.3
2019/07/17,2931.7,2072.9,28593.2,237.3,21469.2
2019/07/18,2901.2,2066.6,28461.7,240.1,21046.2
2019/07/19,2924.2,2094.4,28765.4,238.3,21467
2019/07/22,2887,2093.3,28371.3,238.8,21416.8
2019/07/23,2899.9,2101.4,28466.5,237.5,21620.9
2019/07/24,2923.3,2082.3,28524,233.6,21709.6
2019/07/25,2937.4,2074.5,28594.3,228.1,21756.6
2019/07/26,2944.5,2066.3,28397.7,228.5,21658.2
2019/07/29,2941,2029.5,28106.4,229.5,21616.8
2019/07/30,2952.3,2038.7,28146.5,229.7,21709.3
2019/07/31,2932.5,2024.6,27777.8,229.4,21521.5
2019/08/01,2908.8,2017.3,27565.7,229.9,21541
2019/08/02,2867.8,1998.1,26918.6,231,21087.2
2019/08/05,2821.5,1947,26151.3,232.1,20720.3
2019/08/06,2777.6,1917.5,25976.2,232.9,20585.3
2019/08/07,2768.7,1909.7,25997,234.8,20516.6
2019/08/08,2794.6,1920.6,26120.8,229.7,20593.3
2019/08/09,2774.8,1937.8,25939.3,233.2,20684.8
2019/08/12,2815,1942.3,25824.7,NaN,NaN
2019/08/13,2797.3,1925.8,25281.3,232.7,20455.4
2019/08/14,2808.9,1938.4,25302.3,230.4,20655.1
2019/08/15,2815.8,NaN,25495.5,NaN,20405.7
2019/08/16,2823.8,1927.2,25734.2,225.1,20418.8
2019/08/19,2883.1,1939.9,26291.8,224.2,20563.2
2019/08/20,2880,1960.3,26231.5,221.6,20677.2
2019/08/21,2880.3,1964.7,26270,219,20618.6
2019/08/22,2883.4,1951,26048.7,219.9,20628
2019/08/23,2897.4,1948.3,26179.3,221.6,20710.9
2019/08/26,2863.6,1916.3,25680.3,220.8,20261
2019/08/27,2902.2,1924.6,25664.1,222.1,20456.1
2019/08/28,2893.8,1941.1,25615.5,222.9,20479.4
2019/08/29,2890.9,1933.4,25703.5,226.8,20460.9
2019/08/30,2886.2,1967.8,25724.7,228.8,20704.4
2019/09/03,2930.1,1965.7,25527.8,230.6,20625.2
2019/09/04,2957.4,1988.5,26523.2,232.7,20649.1
2019/09/05,2985.9,2004.8,26515.5,234.5,21085.9
2019/09/06,2999.6,2009.1,26690.8,233.8,21199.6
2019/09/09,3024.7,2019.6,26681.4,233.8,21318.4
2019/09/10,3021.2,2032.1,26683.7,NaN,21392.1
2019/09/11,3008.8,2049.2,27159.1,252,21597.8
2019/09/12,3031.2,NaN,27087.6,252.6,21759.6
2019/09/13,NaN,NaN,27352.7,252.9,21988.3
2019/09/16,3030.8,2062.2,27124.6,252.9,NaN
2019/09/17,2978.1,2062.3,26790.2,227.7,22001.3
2019/09/18,2985.7,2070.7,26754.1,226.1,21960.7
2019/09/19,2999.3,2080.4,26468.9,222.9,22044.4
2019/09/20,3006.4,2091.5,26435.7,220.8,22079.1
2019/09/23,2977.1,2091.7,26222.4,217.2,NaN
2019/09/24,2985.3,2101,26281,215,22098.8
2019/09/25,2955.4,2073.4,25945.3,215.2,22020.2
2019/09/26,2929.1,2074.5,26041.9,215.6,22048.2
2019/09/27,2932.2,2049.9,25954.8,215.4,21878.9
2019/09/30,2905.2,2063.1,26092.3,215.1,21755.8
2019/10/01,NaN,2072.4,NaN,215.1,21885.2
2019/10/02,NaN,2031.9,26042.7,NaN,21778.6
2019/10/03,NaN,NaN,26110.3,215.2,21341.7
2019/10/04,NaN,2020.7,25821,210.7,21410.2
2019/10/07,NaN,2021.7,NaN,214.6,21375.3
2019/10/08,2913.6,2046.3,25893.4,NaN,21587.8
2019/10/09,2924.9,NaN,25682.8,215.7,21456.4
2019/10/10,2947.7,2028.2,25707.9,215.1,21552
2019/10/11,2973.7,2044.6,26308.4,215.3,21798.9
2019/10/14,3007.9,2067.4,26521.8,214.4,NaN
2019/10/15,2991.1,2068.2,26503.9,219.1,22207.2
2019/10/16,2978.7,2082.8,26664.3,219.3,22472.9
2019/10/17,2977.3,2077.9,26848.5,218.3,22451.9
2019/10/18,2938.1,2060.7,26719.6,216.3,22492.7
2019/10/21,2939.6,2064.8,26725.7,NaN,22548.9
2019/10/22,2954.4,2088.9,26786.2,217.2,NaN
2019/10/23,2941.6,2080.6,26566.7,208.4,22625.4
2019/10/24,2940.9,2085.7,26797.9,207.8,22750.6
2019/10/25,2954.9,2087.9,26667.4,208.4,22799.8
2019/10/28,2980.1,2093.6,26891.3,NaN,22867.3
2019/10/29,2954.2,2092.7,26786.8,208.1,22974.1
2019/10/30,2939.3,2080.3,26667.7,209.9,22843.1
2019/10/31,2929.1,2083.5,26906.7,210.7,22927
2019/11/01,2958.2,2100.2,27100.8,210.1,22850.8
2019/11/04,2975.5,2130.2,27547.3,208.7,NaN
2019/11/05,2991.6,2142.6,27683.4,208.8,23252
2019/11/06,2978.6,2144.1,27688.6,208.1,23303.8
2019/11/07,2978.7,2144.3,27847.2,206.4,23330.3
2019/11/08,2964.2,2137.2,27651.1,207.7,23391.9
2019/11/11,2910,2124.1,26926.6,207.7,23331.8
2019/11/12,2914.8,2140.9,27065.3,NaN,23520
2019/11/13,2905.2,2122.4,26571.5,205.4,23319.9
2019/11/14,2909.9,NaN,26323.7,205.4,23141.6
2019/11/15,2891.3,2162.2,26326.7,206.4,23303.3
2019/11/18,2909.2,2160.7,26681.1,203.8,23416.8
2019/11/19,2934,2153.2,27093.8,204.3,23292.7
2019/11/20,2911.1,2125.3,26889.6,200.8,23148.6
