Date,Australia,NewZealand
2019/07/01,6648.1,1777.3
2019/07/02,6653.2,1788.7
2019/07/03,6685.5,1790.7
2019/07/05,6751.3,1801.8
2019/07/08,6672.3,1800.7
2019/07/09,6665.7,1789.3
2019/07/10,6689.8,1807.6
2019/07/11,6716.1,1813.7
2019/07/12,6696.5,1816.3
2019/07/15,6653,1811.2
2019/07/16,6641,1808.4
2019/07/17,6673.3,1809
2019/07/18,6649.1,1823.4
2019/07/19,6700.3,1825
2019/07/22,6691.2,1837.4
2019/07/23,6724.6,1844.2
2019/07/24,6776.7,1835.1
2019/07/25,6818,1849.1
2019/07/26,6793.4,1834.6
2019/07/29,6825.8,1841.3
2019/07/30,6845.1,1845.6
2019/07/31,6812.6,1842.5
2019/08/01,6788.9,1842.4
2019/08/02,6768.6,1843.4
2019/08/05,6640.3,1828
2019/08/06,6478.1,1797.6
2019/08/07,6519.5,1830.5
2019/08/08,6568.1,1845.9
2019/08/09,6584.4,1845.5
2019/08/12,6590.3,1845.5
2019/08/13,6568.5,1842.4
2019/08/14,6595.9,1841.6
2019/08/15,6408.1,1816.9
2019/08/16,6405.5,1808.9
2019/08/19,6467.4,1816.7
2019/08/20,6545,1833.7
2019/08/21,6483.3,1818
2019/08/22,6501.8,1819.8
2019/08/23,6523.1,1802.8
2019/08/26,6440.1,1779.3
2019/08/27,6471.2,1783.9
2019/08/28,6500.6,1797.5
2019/08/29,6507.4,1788.3
2019/08/30,6604.2,1817.4
2019/09/03,6573.4,1849.9
2019/09/04,6553,1858.7
2019/09/05,6613.2,1873.8
2019/09/06,6647.3,1892.4
2019/09/09,6648,1889.3
2019/09/10,6614.1,1878.7
2019/09/11,6638,1842.6
2019/09/12,6654.9,1836.9
2019/09/13,6669.2,1830.1
2019/09/16,6673.5,1825.4
2019/09/17,6695.3,1831.3
2019/09/18,6681.6,1816.6
2019/09/19,6717.5,1816.4
2019/09/20,6730.8,1821.4
2019/09/23,6749.7,1827.3
2019/09/24,6748.9,1824.7
2019/09/25,6710.2,1825.1
2019/09/26,6677.6,1818.6
2019/09/27,6716.1,1818.1
2019/09/30,6688.3,1832.2
2019/10/01,6742.8,1843.9
2019/10/02,6639.9,1836.7
2019/10/03,6493,1813.6
2019/10/04,6517.1,1825.6
2019/10/07,6563.6,1838.8
2019/10/08,6593.4,1845.7
2019/10/09,6546.7,1833.6
2019/10/10,6547.1,1825
2019/10/11,6606.8,1830.5
2019/10/14,6642.6,1847.5
2019/10/15,6652,1850.5
2019/10/16,6736.5,1871.6
2019/10/17,6684.7,1865.8
2019/10/18,6649.7,1854.3
2019/10/21,6652.5,1853.8
2019/10/22,6672.2,1858.5
2019/10/23,6673.1,1819.9
2019/10/24,6693.6,1815.8
2019/10/25,6739.2,1809.1
2019/10/28,6740.7,1816.3
2019/10/29,6745.4,1810.4
2019/10/30,6689.5,1809.7
2019/10/31,6663.4,1810.3
2019/11/01,6669.1,1806.6
2019/11/04,6686.9,1813.3
2019/11/05,6697.1,1820.4
2019/11/06,6660.2,1807
2019/11/07,6726.6,1812.8
2019/11/08,6724.1,1826.1
2019/11/11,6772.5,1833.2
2019/11/12,6753,1834.1
2019/11/13,6698.4,1819.4
2019/11/14,6735.1,1829.4
2019/11/15,6793.7,1828.6
2019/11/18,6766.8,1824.9
2019/11/19,6814.2,1828
2019/11/20,6722.4,1842.2
2019/11/21,6672.9,1838.3
2019/11/22,6709.8,1836.6
2019/11/25,6731.4,1837.8
2019/11/26,6787.5,1852.3
2019/11/27,6850.6,1864.4
2019/11/29,6846,1896.9
2019/12/02,6862.3,1893.2
2019/12/03,6712.3,1881.6
2019/12/04,6606.5,1878.4
2019/12/05,6683,1885.2
2019/12/06,6707,1887.4
2019/12/09,6730,1879.4
2019/12/10,6706.9,1888.2
2019/12/11,6752.6,1889.2
2019/12/12,6708.8,1892
2019/12/13,6739.7,1880.8
2019/12/16,6849.7,1878.2
2019/12/17,6847.3,1884
2019/12/18,6851.4,1895.6
2019/12/19,6833.1,1920
2019/12/20,6816.3,1920.4
2019/12/23,6785.1,1931.4
2019/12/24,6794.2,1947.1
2019/12/26,NaN,NaN
2019/12/27,6821.7,1940.9
2019/12/30,6804.9,1934.4
2019/12/31,6684.1,1923.8
2020/01/02,6690.6,1930.8
2020/01/03,6733.5,1941
2020/01/06,6735.7,1946.3
2020/01/07,6826.4,1946.4
2020/01/08,6817.6,1933.9
2020/01/09,6874.2,1931.1
2020/01/10,6929,1933.3
2020/01/13,6903.7,1932
2020/01/14,6962.2,1944.9
2020/01/15,6994.8,1953.4
2020/01/16,7041.8,1963.2
2020/01/17,7064.1,1973.6
2020/01/21,7066.3,1974.9
2020/01/22,7132.7,1988
2020/01/23,7088,1989.9
2020/01/24,7090.5,1986.2
2020/01/27,NaN,1974.4
2020/01/28,6994.5,1954.2
2020/01/29,7031.5,1953.4
2020/01/30,7008.4,1951.7
2020/01/31,7017.2,1959.1
2020/02/03,6923.3,1931.2
2020/02/04,6948.7,1924.8
2020/02/05,6976.1,1940.1
2020/02/06,7049.2,1961.2
2020/02/07,7022.6,1965.4
2020/02/10,7012.5,1955.1
2020/02/11,7055.3,1976.5
2020/02/12,7088.2,1987
2020/02/13,7103.2,1983.8
2020/02/14,7130.2,1976.4
2020/02/18,7113.7,1992.2
2020/02/19,7144.6,1999.4
2020/02/20,7162.5,2012.9
2020/02/21,7139,2013.7
2020/02/24,6978.3,1977.6
2020/02/25,6866.6,1953.3
2020/02/26,6708.1,1922.3
2020/02/27,6657.9,1905.9
2020/02/28,6441.2,1875.7
2020/03/02,6391.5,1848.7
2020/03/03,6435.7,1889.9
2020/03/04,6325.4,1901.4
2020/03/05,6395.7,1937.9
2020/03/06,6216.2,1903
2020/03/09,5760.6,1847.6
2020/03/10,5939.6,1813.5
2020/03/11,5725.9,1810.6
2020/03/12,5304.6,1716.1
2020/03/13,5539.3,1632.6
2020/03/16,5002,1573.1
2020/03/17,5293.4,1563.4
2020/03/18,4953.2,1565.1
2020/03/19,4782.9,1506.6
2020/03/20,4816.6,1518.8
2020/03/23,4546,1401.7
2020/03/24,4735.7,1500.9
2020/03/25,4998.1,1526.7
2020/03/26,5113.3,1587
2020/03/27,4842.4,1576.5
2020/03/30,5181.4,1590.4
2020/03/31,5076.8,1612.5
2020/04/01,5258.6,1633
2020/04/02,5154.3,1624.6
2020/04/03,5067.5,1635.3
2020/04/06,5286.8,1608
2020/04/07,5252.3,1617.1
2020/04/08,5206.9,1653.9
2020/04/09,5387.3,1645.7
2020/04/13,NaN,1645.7
2020/04/14,5488.1,1677.8
2020/04/15,5466.7,1718.4
2020/04/16,5416.3,1729.2
2020/04/17,5487.5,1780.1
2020/04/20,5353,1778.3
2020/04/21,5221.3,1740.7
2020/04/22,5221.2,1720.8
2020/04/23,5217.1,1725.5
2020/04/24,5242.6,1721.2
2020/04/27,5321.4,1721.2
2020/04/28,5313.1,1776.7
2020/04/29,5393.4,1761.5
2020/04/30,5522.4,1740.1
2020/05/01,5245.9,1726.7
2020/05/04,5319.8,1730.3
2020/05/05,5407.1,1732.8
2020/05/06,5384.6,1746.4
2020/05/07,5364.2,1759.1
2020/05/08,5391.1,1767.2
2020/05/11,5461.2,1778.6
2020/05/12,5403,1789
2020/05/13,5421.9,1783.8
2020/05/14,5328.7,1776.1
2020/05/15,5404.8,1774
2020/05/18,5460.5,1778.6
2020/05/19,5559.5,1784.1
2020/05/20,5573,1784
2020/05/21,5550.4,1774.7
2020/05/22,5497,1763.5
2020/05/26,5780,1803.4
2020/05/27,5775,1823.7
2020/05/28,5851.1,1792.9
2020/05/29,5755.7,1797
2020/06/01,5819.2,1797
2020/06/02,5835.1,1821.9
2020/06/03,5941.6,1835.6
2020/06/04,5991.8,1852.4
2020/06/05,5998.7,1843.3
2020/06/08,NaN,1901.2
2020/06/09,6144.9,1865.3
2020/06/10,6148.4,1858.7
2020/06/11,5960.6,1841.6
2020/06/12,5847.8,1800.3
2020/06/15,5719.8,1794.7
2020/06/16,5942.3,1808.6
2020/06/17,5991.8,1871.3
2020/06/18,5936.5,1854.4
2020/06/19,5942.6,1859.6
2020/06/22,5944.5,1843.4
2020/06/23,5954.4,1839.3
2020/06/24,5965.7,1860
2020/06/25,5817.7,1837.3
2020/06/26,5904.1,1838.3
2020/06/29,5815,1858.1
2020/06/30,5897.9,1889.4
