Date,Brazil,Argentina,Chile,Peru
2019/07/01,101340,41507.5,25748.9,20727.8
2019/07/02,100605,41793.1,25515.9,20729.1
2019/07/03,102043,41304.3,25702,20770.4
2019/07/05,104089,41755.7,25779.6,20882
2019/07/08,104530,NaN,25746.5,20884
2019/07/09,NaN,NaN,25686.1,20707.3
2019/07/10,105817,42807.1,25761.8,20760.8
2019/07/11,105146,42856.3,25769.4,20698.6
2019/07/12,103906,42753.1,25732.1,20738.5
2019/07/15,103803,41256.6,25777,20635
2019/07/16,103775,41788.3,NaN,20805.9
2019/07/17,103856,41451.3,25666.7,20839.3
2019/07/18,104717,40752.8,25621.8,20919.7
2019/07/19,103452,40161.6,25669.7,20845.3
2019/07/22,103949,38730,25571.7,20783.5
2019/07/23,103704,39203.9,25410.9,20729.2
2019/07/24,104120,39784.9,25262.4,20762.1
2019/07/25,102655,39884.4,25345.7,20817.2
2019/07/26,102819,41983.7,25292.8,20692.3
2019/07/29,103483,42785.5,25370.4,NaN
2019/07/30,102933,42463.2,25385.7,20199.6
2019/07/31,101812,42057.8,25280.7,19957.3
2019/08/01,102126,41411,25117.4,19862.7
2019/08/02,102674,41359.2,24855,19695.4
2019/08/05,100098,40873.4,24339.6,19397
2019/08/06,102164,41317,24326.2,19338.6
2019/08/07,102782,40949.3,24453.7,19604.5
2019/08/08,104115,41093.5,24897.7,19654
2019/08/09,103996,44355.1,24902.9,19487.7
2019/08/12,101915,27530.8,24509.1,19126.7
2019/08/13,103299,30344.6,24595.1,19226.2
2019/08/14,100258,29920.7,24317.7,18955.3
2019/08/15,99057,31039.3,NaN,18862.8
2019/08/16,99806,30406.7,24385.6,18915.7
2019/08/19,99469,NaN,24329.1,19112.2
2019/08/20,99222,27230.6,24265.9,19088
2019/08/21,101202,27977.7,24287,18965.5
2019/08/22,100011,27983,24061.7,18833.7
2019/08/23,97667,26586,23637.9,18807.4
2019/08/26,96430,25848.3,23495.1,18723.7
2019/08/27,97276,24622.5,23427.6,18866
2019/08/28,98194,25458,23426.5,19035
2019/08/29,100524,23984.8,23788.3,19106.8
2019/08/30,101135,24608.6,24278.7,NaN
2019/09/03,99681,23079.3,23922.6,19264.8
2019/09/04,101201,24664.6,24044.1,19242.3
2019/09/05,102243,26932.1,24317.4,19487.2
2019/09/06,102935,27659.7,24345.1,19357.7
2019/09/09,103181,27176.4,24517.3,19193.2
2019/09/10,103032,28432.2,24616.5,19211.4
2019/09/11,103446,28617.9,24965.6,19328.8
2019/09/12,104371,29114.8,25056.2,19416.7
2019/09/13,103501,30136.3,25191.2,19416.3
2019/09/16,103680,30561.3,25479.6,19468.3
2019/09/17,104617,30150.7,25502.1,19485.5
2019/09/18,104532,30071.1,NaN,19507
2019/09/19,104339,30414.4,NaN,19491.4
2019/09/20,104817,30060.5,NaN,19455.7
2019/09/23,104638,29152.1,25303.9,19370.1
2019/09/24,103876,27819.8,25180.4,19371.2
2019/09/25,104481,28212.4,25199.4,19391.8
